address,pools,tier,smart,bot,edge,large,targetT,targetLarge,avgNotional,copyROI,copyT,targetCopyROI,targetCopyT,shares,maxShares,markets,categories,top,score_sources,risk
0xee00ba338c59557141789b127927a55f5cc5cea1,sports_holders_push,BOT,100.0,61.2,100.0,510,1192,438,3793,4.2,1,0.0,0,304424,140839,12,soccer:12,Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder,leaderboard_profit_all","bot_like_flow,burst_trading,open_copy_exposure"
0x60bad0ad4871a31cb2bf392472056b15e20b3c6c,sports_holders_push,D,74.3,58.1,84.6,751,1131,541,120,-1.2,40,-1.3,23,36000,9000,4,soccer:4,France vs. Spain: Team to Advance,holder,"bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim"
0x18b84caa510f257bc961daa88a738994ae66c368,sports_holders_push,D,100.0,49.4,100.0,592,249,203,2174,41.1,102,3.8,40,178005,118000,3,soccer:3,France vs. Spain: Team to Advance,holder,"bot_like_flow,burst_trading,opposite_side_same_market"
0x929c4817e4c765a9ae72431bd4650597a5b8fe32,sports_holders_push,BOT,100.0,61.9,100.0,631,605,328,240,18.5,94,8.4,56,117026,40270,10,"basketball:6,soccer:4",Will Ousmane Dembele be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market"
0x9df5166f93d6a65ac3c3428d8644b2e7175361e1,sports_holders_push,BOT,4.9,54.5,30.4,187,1058,158,263,0.0,0,0.0,0,566805,394646,4,basketball:4,Will LeBron James play for the Los Angeles Lakers in 2026-27?,existing,"bot_like_flow,burst_trading,open_copy_exposure"
0x1418d1d10cc82124d6e3ba689062bfe0d2876fef,sports_holders_push,D,75.6,57.9,86.2,697,1043,528,139,-1.2,60,-1.3,43,37000,12000,4,soccer:4,Will France win on 2026-07-14?,holder,"bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim"
0x8b4bca1d794779e66e023d44391b2a86c5ab541b,sports_holders_push,D,90.6,57.5,84.4,494,442,69,720,1.9,1,0.0,0,226378,113626,8,"basketball:1,soccer:7",Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","bot_like_flow,burst_trading,open_copy_exposure"
0x014c4e7ae2145992861c2d1b124af633a97f820c,sports_holders_push,D,100.0,50.1,100.0,662,399,216,738,17.9,45,42.4,16,54995,9709,16,"basketball:6,soccer:10",Will LeBron James play for the Philadelphia 76ers in 2026-27?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x9854aeab8b073c34ab7643f3e8aa316f3b616bf2,sports_holders_push,D,100.0,59.9,100.0,505,1357,454,1674,84.8,15,84.8,15,205954,205954,1,soccer:1,Will France win on 2026-07-14?,"holder,leaderboard_volume_7d","bot_like_flow,burst_trading,opposite_side_same_market,open_copy_exposure"
0x32b484581fc5606de9c1e43af4636b6be9bc8b21,sports_holders_push,C,100.0,40.3,100.0,616,443,225,771,0.0,0,0.0,0,82497,82497,1,soccer:1,Will Spain win on 2026-07-14?,"holder,leaderboard_volume_30d","burst_trading,open_copy_exposure"
0xa0f21e6d351baa9185716b5c00c2925ed9621848,sports_holders_push,BOT,100.0,74.2,100.0,541,765,177,151,-2.4,62,-11.9,13,154009,30518,28,"basketball:20,soccer:8",Will LeBron James play for the Golden State Warriors in 2026-27?,"existing,holder,leaderboard_volume_7d,recent_trade","bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim"
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,sports_holders_push,BOT,70.3,76.5,76.5,601,17,13,5537,-18.0,2,0.0,0,72865,36500,3,basketball:3,Will LeBron James play for the Los Angeles Lakers in 2026-27?,"existing,leaderboard_volume_all","bot_like_flow,extreme_price_heavy,burst_trading,opposite_side_same_market,open_copy_exposure"
0x2f5bb96e2da56a85e7bfddcad6e48f73e9bbe747,sports_holders_push,BOT,87.6,61.6,87.9,623,1134,477,135,-0.5,51,-0.5,37,35998,12000,3,soccer:3,Will France win on 2026-07-14?,holder,"bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim"
0xd84949634cf9aac74cab066cb978ac33ac676ac7,sports_holders_push,BOT,62.1,59.4,77.0,576,325,201,1574,-41.7,24,-10.3,5,65800,50000,2,soccer:2,Will France reach the 2026 FIFA World Cup final?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim,open_copy_exposure"
0xecaa8806a9a05049d7d5260a33dc924220e377a9,sports_holders_push,D,89.6,58.3,96.8,437,734,229,565,-35.2,28,-21.9,16,171245,45591,6,soccer:6,Will Kylian Mbappe be the top goalscorer at the 2026 FIFA World Cup?,"existing,holder","bot_like_flow,burst_trading,opposite_side_same_market,negative_copy_sim,open_copy_exposure"
0xc2e5359b204c4296b7e1a07603fe0b657486b3a5,sports_holders_push,C,100.0,43.9,100.0,560,983,406,165,-1.5,1,-1.5,1,44914,15839,6,"basketball:1,soccer:5",Will Lionel Messi win the Golden Ball at the 2026 FIFA World Cup?,"existing,holder","burst_trading,open_copy_exposure"
0xd218e474776403a330142299f7796e8ba32eb5c9,sports_holders_push,BOT,90.3,69.1,87.1,243,303,30,147,0.0,0,0.0,0,360342,76507,48,"basketball:15,soccer:33",Will Argentina reach the 2026 FIFA World Cup final?,"existing,holder,leaderboard_profit_7d,leaderboard_volume_7d,leaderboard_volume_all","bot_like_flow,extreme_price_heavy,burst_trading,open_copy_exposure"
